idade,sexo,grupo,pop,obito
75,f,api.rur,115645,3091
76,f,api.rur,102893,3177
77,f,api.rur,97802,3236
78,f,api.rur,93210,3586
79,f,api.rur,96427,4054
80,f,api.rur,78759,3714
81,f,api.rur,64815,3325
82,f,api.rur,59224,3540
83,f,api.rur,59266,3693
84,f,api.rur,51053,3510
85,f,api.rur,45750,3544
86,f,api.rur,36826,3127
87,f,api.rur,31492,3010
88,f,api.rur,27683,2925
89,f,api.rur,24225,2697
90,f,api.rur,21113,2549
91,f,api.rur,17159,2285
92,f,api.rur,14108,1921
93,f,api.rur,10953,1539
94,f,api.rur,9783,1380
95,f,api.rur,9186,1323
96,f,api.rur,7492,1066
97,f,api.rur,6775,965
98,f,api.rur,5841,828
99,f,api.rur,4823,716
100,f,api.rur,3508,547
101,f,api.rur,2147,359
102,f,api.rur,1557,263
103,f,api.rur,1180,218
104,f,api.rur,995,190
105,f,api.rur,738,135
106,f,api.rur,377,76
107,f,api.rur,332,73
108,f,api.rur,223,45
109,f,api.rur,167,27
110,f,api.rur,85,13
111,f,api.rur,41,7
112,f,api.rur,24,5
113,f,api.rur,11,5
114,f,api.rur,22,6
115,f,api.rur,4,1
65,m,bpc,34306,691
66,m,bpc,47748,1420
67,m,bpc,53674,1715
68,m,bpc,54858,1866
69,m,bpc,53099,1973
70,m,bpc,52914,2033
71,m,bpc,55466,2217
72,m,bpc,52436,2294
73,m,bpc,47478,2236
74,m,bpc,44379,2245
75,m,bpc,47220,2380
76,m,bpc,37650,2234
77,m,bpc,31482,1940
78,m,bpc,27787,1910
79,m,bpc,29267,2071
80,m,bpc,25923,2103
81,m,bpc,20592,1698
82,m,bpc,17596,1577
83,m,bpc,15309,1487
84,m,bpc,12786,1318
85,m,bpc,10622,1083
86,m,bpc,7311,877
87,m,bpc,5908,746
88,m,bpc,4516,620
89,m,bpc,3223,455
90,m,bpc,2356,328
91,m,bpc,1699,240
92,m,bpc,1364,215
93,m,bpc,993,175
94,m,bpc,808,142
95,m,bpc,788,122
96,m,bpc,494,93
97,m,bpc,458,83
98,m,bpc,320,59
99,m,bpc,296,55
100,m,bpc,217,56
101,m,bpc,161,34
102,m,bpc,176,32
103,m,bpc,137,14
104,m,bpc,94,11
105,m,bpc,80,15
106,m,bpc,43,7
107,m,bpc,45,5
108,m,bpc,59,9
109,m,bpc,68,13
110,m,bpc,40,7
111,m,bpc,20,3
112,m,bpc,10,0
113,m,bpc,6,2
114,m,bpc,4,2
115,m,bpc,3,0
65,f,bpc,51618,522
66,f,bpc,66510,1058
67,f,bpc,73586,1239
68,f,bpc,71501,1259
69,f,bpc,69011,1416
70,f,bpc,69858,1607
71,f,bpc,74091,1756
72,f,bpc,68880,1882
73,f,bpc,64325,1915
74,f,bpc,61751,1928
75,f,bpc,67655,2235
76,f,bpc,54401,2075
77,f,bpc,44695,1825
78,f,bpc,39086,1844
79,f,bpc,39643,1836
80,f,bpc,33389,1873
81,f,bpc,27731,1565
82,f,bpc,24430,1589
83,f,bpc,23460,1691
84,f,bpc,20350,1553
85,f,bpc,17760,1526
86,f,bpc,13452,1243
87,f,bpc,11566,1182
88,f,bpc,9792,1087
89,f,bpc,7594,969
90,f,bpc,6201,773
91,f,bpc,4982,691
92,f,bpc,4302,645
93,f,bpc,3605,639
94,f,bpc,3540,654
95,f,bpc,3439,618
96,f,bpc,2777,558
97,f,bpc,2515,467
98,f,bpc,1916,411
99,f,bpc,1771,350
100,f,bpc,1464,334
101,f,bpc,1084,241
102,f,bpc,890,223
103,f,bpc,775,182
104,f,bpc,610,170
105,f,bpc,454,99
106,f,bpc,293,52
107,f,bpc,269,64
108,f,bpc,528,106
109,f,bpc,612,124
110,f,bpc,298,59
111,f,bpc,124,31
112,f,bpc,54,15
113,f,bpc,50,15
114,f,bpc,40,11
115,f,bpc,8,2
