idade,sexo,grupo,pop,obito,logmx,topals,topals.inf,topals.sup,vand.hat,gomp.hat
79,f,api.urb,58389,1967,-3.390617977,-3.369762828,-3.389036642,-3.350489013,-3.352592853,-3.367899696
80,f,api.urb,53446,2061,-3.255480496,-3.254951905,-3.279774728,-3.230129082,-3.252473974,-3.260265372
81,f,api.urb,49301,2093,-3.159345921,-3.1419246,-3.161254103,-3.122595097,-3.155876908,-3.152631047
82,f,api.urb,46278,2388,-2.964210491,-3.022197295,-3.037391313,-3.007003276,-3.06269751,-3.044996723
83,f,api.urb,45240,2418,-2.929040899,-2.905969989,-2.919676124,-2.892263855,-2.972807573,-2.937362399
84,f,api.urb,42062,2565,-2.797186242,-2.791042684,-2.806683318,-2.77540205,-2.886065745,-2.829728075
85,f,api.urb,37732,2617,-2.668479917,-2.674715379,-2.694744661,-2.654686097,-2.802324978,-2.72209375
86,f,api.urb,31734,2477,-2.550340511,-2.552763721,-2.569848556,-2.535678885,-2.721437522,-2.614459426
87,f,api.urb,26769,2353,-2.431553392,-2.433512062,-2.448270453,-2.418753672,-2.643258207,-2.506825102
88,f,api.urb,23148,2201,-2.352996581,-2.317860404,-2.331236785,-2.304484024,-2.56764654,-2.399190777
89,f,api.urb,18010,2020,-2.187829648,-2.199008746,-2.212246722,-2.18577077,-2.49446796,-2.291556453
90,f,api.urb,14977,1897,-2.066242,-2.082557088,-2.09693622,-2.068177955,-2.423594541,-2.183922129
91,f,api.urb,11418,1561,-1.989864416,-1.97150543,-1.988042476,-1.954968383,-2.354905294,-2.076287805
92,f,api.urb,8812,1413,-1.830399325,-1.860153771,-1.879528686,-1.840778856,-2.288286212,-1.96865348
93,f,api.urb,6491,1121,-1.756195458,-1.753102113,-1.775740571,-1.730463656,-2.223630147,-1.861019156
94,f,api.urb,4682,906,-1.642441342,-1.649550455,-1.675719352,-1.623381558,-2.160836569,-1.753384832
95,f,api.urb,3370,702,-1.568734619,-1.547498797,-1.577370549,-1.517627044,-2.099811265,-1.645750507
96,f,api.urb,2324,521,-1.495295076,-1.478929534,-1.506021402,-1.451837665,-2.040466003,-1.538116183
97,f,api.urb,1554,384,-1.397944978,-1.413160271,-1.44652146,-1.379799081,-1.982718172,-1.430481859
98,f,api.urb,982,251,-1.364138369,-1.350191008,-1.395238987,-1.305143028,-1.926490428,-1.322847535
99,f,api.urb,563,156,-1.283423621,-1.290221745,-1.349238893,-1.231204596,-1.871710343,-1.21521321
100,f,api.urb,364,109,-1.205805985,-1.234852482,-1.308839501,-1.160865462,-1.818310068,-1.107578886
101,f,api.urb,209,66,-1.15267951,-1.183383218,-1.272839835,-1.093926602,-1.766226014,-0.999944562
102,f,api.urb,118,43,-1.009484509,-1.136013955,-1.241219683,-1.030808228,-1.715398545,-0.892310237
