"idade","sexo","grupo","pop","obito","mx","gomp"
81,"f","bpc",27731,1565,0.0564350366016372,0.0588556958430788
82,"f","bpc",24430,1589,0.0650429799426934,0.0643158957430372
83,"f","bpc",23460,1691,0.072080136402387,0.0702826529527077
84,"f","bpc",20350,1553,0.0763144963144963,0.0768029621449456
85,"f","bpc",17760,1526,0.0859234234234234,0.0839281778137645
86,"f","bpc",13452,1243,0.0924026167112697,0.0917144187465747
87,"f","bpc",11566,1182,0.102196091993775,0.100223010020391
88,"f","bpc",9792,1087,0.111008986928105,0.109520966003205
89,"f","bpc",7594,969,0.127600737424282,0.119681518164689
90,"f","bpc",6201,773,0.124657313336559,0.130784691853299
91,"f","bpc",4982,691,0.138699317543155,0.142917936582534
92,"f","bpc",4302,645,0.149930264993027,0.15617681479053
93,"f","bpc",3605,639,0.177253814147018,0.17066575449772
94,"f","bpc",3540,654,0.184745762711864,0.186498871790553
95,"f","bpc",3439,618,0.179703402151788,0.203800869609221
96,"f","bpc",2777,558,0.200936262153403,0.22270801991832
97,"f","bpc",2515,467,0.185685884691849,0.243369236996105
98,"f","bpc",1916,411,0.214509394572025,0.265947250295651
99,"f","bpc",1771,350,0.197628458498024,0.290619886115473
100,"f","bpc",1464,334,0.228142076502732,0.317581468174149
101,"f","bpc",1084,241,0.222324723247232,0.347044348119983
102,"f","bpc",890,223,0.250561797752809,0.379240578030137
103,"f","bpc",775,182,0.234838709677419,0.414423738071967
104,"f","bpc",610,170,0.278688524590164,0.452870933721376
105,"f","bpc",454,99,0.218061674008811,0.494884978268439
106,"f","bpc",293,52,0.177474402730375,0.540796777799903
107,"f","bpc",269,64,0.237918215613383,0.590967937442867
108,"f","bpc",528,106,0.200757575757576,0.645793609396649
109,"f","bpc",612,124,0.202614379084967,0.705705605184156
110,"f","bpc",298,59,0.197986577181208,0.771175796635129
111,"f","bpc",124,31,0.25,0.842719832387663
112,"f","bpc",54,15,0.277777777777778,0.920901199179492
113,"f","bpc",50,15,0.3,1.0063356599161
114,"f","bpc",40,11,0.275,1.09969610347026
115,"f","bpc",8,2,0.25,1.20171784441038
65,"m","atc",159147,2163,0.0135912081283342,0.0139292100327079
66,"m","atc",145258,2170,0.014938936237591,0.0153673160339362
67,"m","atc",135838,2295,0.0168951250754575,0.0169538977108067
68,"m","atc",124530,2402,0.019288524853449,0.0187042842714853
