"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
97,"m","api.urb",963,265,-1.2903235858119,-1.27847217792232,-1.31723611997418,-1.23970823587047,-1.86762006869744,-1.17489431364637
98,"m","api.urb",525,166,-1.15141047423508,-1.21555336959275,-1.26658766974758,-1.16451906943793,-1.82462162695081,-1.08219695133309
99,"m","api.urb",415,116,-1.27468832912433,-1.15543456126319,-1.22164387702451,-1.08922524550186,-1.78253941165848,-0.989499589019805
100,"m","api.urb",228,91,-0.918486122437591,-1.10031575293362,-1.18302103878205,-1.01761046708519,-1.74133475172711,-0.896802226706524
101,"m","api.urb",146,45,-1.17694413193802,-1.04839694460405,-1.14826672097988,-0.948527168228229,-1.70097139866037,-0.804104864393242
102,"m","api.urb",75,22,-1.22644566017799,-0.999978136274486,-1.11738809016188,-0.882568182387088,-1.66141532651414,-0.711407502079962
103,"m","api.urb",42,16,-0.965080896043587,-0.955459327944918,-1.09063898404273,-0.820279671847108,-1.62263455224535,-0.618710139766679
104,"m","api.urb",27,12,-0.810930216216329,-0.914940519615351,-1.06803950291048,-0.761841536320224,-1.58459897399257,-0.526012777453398
105,"m","api.urb",15,13,-0.143100843640673,-0.878821711285783,-1.04994264823296,-0.707700774338609,-1.5472802251682,-0.433315415140118
106,"m","api.urb",10,2,-1.6094379124341,-0.845802902956216,-1.03501909821908,-0.656586707693354,-1.51065154253069,-0.340618052826836
107,"m","api.urb",5,1,-1.6094379124341,-0.816684094626649,-1.02404966349049,-0.609318525762803,-1.47468764664943,-0.247920690513555
108,"m","api.urb",2,0,-Inf,-0.790965286297081,-1.01652128125864,-0.565409291335527,-1.43936463338232,-0.155223328200273
109,"m","api.urb",0,0,NA,-0.768446477967514,-1.01222476184113,-0.524668194093899,-1.4046598751634,-0.0625259658869922
110,"m","api.urb",1,0,-Inf,-0.765327669637947,-1.02735345773147,-0.503301881544425,-1.37055193104867,0.0301713964262896
65,"f","api.rur",156023,1710,-4.5135100617648,-4.53385161013647,-4.56689047575496,-4.50081274451798,-4.44219748221938,-4.55014500347213
66,"f","api.rur",142766,1748,-4.40273464908487,-4.43998583755428,-4.46543534836846,-4.4145363267401,-4.40786914780238,-4.4520328157296
67,"f","api.rur",147994,1859,-4.37713302366248,-4.34522006497209,-4.36458417314098,-4.3258559568032,-4.35315473992809,-4.35392062798708
68,"f","api.rur",137652,1831,-4.31986649539476,-4.24175429238991,-4.25829031049714,-4.22521827428268,-4.28126208990489,-4.25580844024456
69,"f","api.rur",128033,2082,-4.11895907299891,-4.14348851980772,-4.16201124179126,-4.12496579782418,-4.19583014229669,-4.15769625250204
70,"f","api.rur",124200,2247,-4.01229717629619,-4.03492274722553,-4.05908723955803,-4.01075825489304,-4.10044741398725,-4.05958406475952
71,"f","api.rur",131843,2444,-3.98797577944729,-3.95804535520084,-3.97680911042919,-3.9392815999725,-3.99832852152473,-3.96147187701699
