"idade","sexo","grupo","pop","obito","mx","maen"
75,"f","api.rur",115645,3091,0.0267283496908643,0.0282102550738833
76,"f","api.rur",102893,3177,0.0308767360267462,0.0313612267973456
77,"f","api.rur",97802,3236,0.0330872579292857,0.0347861895712688
78,"f","api.rur",93210,3586,0.0384722669241498,0.0384851433956529
79,"f","api.rur",96427,4054,0.0420421666130855,0.042458088270498
80,"f","api.rur",78759,3714,0.0471565154458538,0.046705024195804
81,"f","api.rur",64815,3325,0.0512998534289902,0.0512259511715709
82,"f","api.rur",59224,3540,0.0597730649736593,0.0560208691977988
83,"f","api.rur",59266,3693,0.0623122869773563,0.0610897782744876
84,"f","api.rur",51053,3510,0.0687520811705482,0.0664326784016373
85,"f","api.rur",45750,3544,0.0774644808743169,0.072049569579248
86,"f","api.rur",36826,3127,0.0849128333242818,0.0779404518073196
87,"f","api.rur",31492,3010,0.0955798297980439,0.0841053250858522
88,"f","api.rur",27683,2925,0.105660513672651,0.0905441894148457
89,"f","api.rur",24225,2697,0.111331269349845,0.0972570447943001
90,"f","api.rur",21113,2549,0.12073130298868,0.104243891224215
91,"f","api.rur",17159,2285,0.133166268430561,0.111504728704592
92,"f","api.rur",14108,1921,0.136163878650411,0.119039557235429
93,"f","api.rur",10953,1539,0.1405094494659,0.126848376816727
94,"f","api.rur",9783,1380,0.141061024225698,0.134931187448486
95,"f","api.rur",9186,1323,0.144023514043109,0.143287989130706
96,"f","api.rur",7492,1066,0.142285104111052,0.151918781863387
97,"f","api.rur",6775,965,0.142435424354244,0.160823565646529
98,"f","api.rur",5841,828,0.14175654853621,0.170002340480132
99,"f","api.rur",4823,716,0.148455318266639,0.179455106364196
100,"f","api.rur",3508,547,0.155929304446978,0.189181863298721
101,"f","api.rur",2147,359,0.167210060549604,0.199182611283706
102,"f","api.rur",1557,263,0.168914579319204,0.209457350319153
103,"f","api.rur",1180,218,0.184745762711864,0.220006080405061
104,"f","api.rur",995,190,0.190954773869347,0.230828801541429
105,"f","api.rur",738,135,0.182926829268293,0.241925513728258
106,"f","api.rur",377,76,0.20159151193634,0.253296216965549
107,"f","api.rur",332,73,0.219879518072289,0.2649409112533
108,"f","api.rur",223,45,0.201793721973094,0.276859596591512
109,"f","api.rur",167,27,0.161676646706587,0.289052272980185
110,"f","api.rur",85,13,0.152941176470588,0.30151894041932
111,"f","api.rur",41,7,0.170731707317073,0.314259598908915
112,"f","api.rur",24,5,0.208333333333333,0.327274248448971
113,"f","api.rur",11,5,0.454545454545455,0.340562889039488
114,"f","api.rur",22,6,0.272727272727273,0.354125520680465
115,"f","api.rur",4,1,0.25,0.367962143371904
65,"f","bpc",51618,522,0.0101127513658026,0.0146598057400169
66,"f","bpc",66510,1058,0.015907382348519,0.0157085513360393
67,"f","bpc",73586,1239,0.0168374419047101,0.0169723718932213
68,"f","bpc",71501,1259,0.0176081453406246,0.0184512674115628
69,"f","bpc",69011,1416,0.0205184680703076,0.0201452378910637
70,"f","bpc",69858,1607,0.0230038077242406,0.0220542833317243
71,"f","bpc",74091,1756,0.0237005844164608,0.0241784037335443
72,"f","bpc",68880,1882,0.0273228803716609,0.0265175990965239
73,"f","bpc",64325,1915,0.0297706956859697,0.029071869420663
74,"f","bpc",61751,1928,0.0312221664426487,0.0318412147059616
75,"f","bpc",67655,2235,0.0330352523834159,0.0348256349524198
76,"f","bpc",54401,2075,0.0381426812007132,0.0380251301600376
77,"f","bpc",44695,1825,0.0408323078644144,0.0414397003288148
78,"f","bpc",39086,1844,0.0471780177045489,0.0450693454587517
79,"f","bpc",39643,1836,0.0463133466185707,0.0489140655498481
80,"f","bpc",33389,1873,0.0560963191470245,0.0529738606021041
81,"f","bpc",27731,1565,0.0564350366016372,0.0572487306155197
82,"f","bpc",24430,1589,0.0650429799426934,0.0617386755900948
83,"f","bpc",23460,1691,0.072080136402387,0.0664436955258295
84,"f","bpc",20350,1553,0.0763144963144963,0.0713637904227238
85,"f","bpc",17760,1526,0.0859234234234234,0.0764989602807777
86,"f","bpc",13452,1243,0.0924026167112697,0.0818492050999912
87,"f","bpc",11566,1182,0.102196091993775,0.0874145248803643
88,"f","bpc",9792,1087,0.111008986928105,0.093194919621897
89,"f","bpc",7594,969,0.127600737424282,0.0991903893245893
90,"f","bpc",6201,773,0.124657313336559,0.105400933988441
91,"f","bpc",4982,691,0.138699317543155,0.111826553613453
92,"f","bpc",4302,645,0.149930264993027,0.118467248199624
93,"f","bpc",3605,639,0.177253814147018,0.125323017746955
94,"f","bpc",3540,654,0.184745762711864,0.132393862255445
95,"f","bpc",3439,618,0.179703402151788,0.139679781725095
96,"f","bpc",2777,558,0.200936262153403,0.147180776155905
97,"f","bpc",2515,467,0.185685884691849,0.154896845547874
98,"f","bpc",1916,411,0.214509394572025,0.162827989901003
99,"f","bpc",1771,350,0.197628458498024,0.170974209215292
100,"f","bpc",1464,334,0.228142076502732,0.17933550349074
101,"f","bpc",1084,241,0.222324723247232,0.187911872727348
102,"f","bpc",890,223,0.250561797752809,0.196703316925116
103,"f","bpc",775,182,0.234838709677419,0.205709836084043
104,"f","bpc",610,170,0.278688524590164,0.21493143020413
105,"f","bpc",454,99,0.218061674008811,0.224368099285377
106,"f","bpc",293,52,0.177474402730375,0.234019843327783
107,"f","bpc",269,64,0.237918215613383,0.243886662331349
108,"f","bpc",528,106,0.200757575757576,0.253968556296075
109,"f","bpc",612,124,0.202614379084967,0.264265525221961
110,"f","bpc",298,59,0.197986577181208,0.274777569109006
111,"f","bpc",124,31,0.25,0.285504687957211
112,"f","bpc",54,15,0.277777777777778,0.296446881766576
113,"f","bpc",50,15,0.3,0.3076041505371
114,"f","bpc",40,11,0.275,0.318976494268784
115,"f","bpc",8,2,0.25,0.330563912961628
