"ano","idade","sexo","grupo","pop","obito","logmx","logmx.hat","logmx.hat.inf","logmx.hat.sup"
2015,98,"f","atc",139,39,-1.27091228700105,-1.26286153456221,-1.36003524475094,-1.16568782437349
2015,99,"f","atc",95,29,-1.18658106161407,-1.17948281947591,-1.30221511594144,-1.05675052301037
2015,100,"f","atc",57,18,-1.15267950993839,-1.1007041043896,-1.25222689441735,-0.949181314361861
2015,101,"f","atc",33,13,-0.931558204004943,-1.0258253893033,-1.20784337703557,-0.843807401571028
2015,102,"f","atc",29,10,-1.06471073699243,-0.955046674216994,-1.16853529798099,-0.741558050453
2015,103,"f","atc",14,4,-1.25276296849537,-0.888767959130688,-1.13432791057515,-0.643208007686222
2015,104,"f","atc",10,6,-0.510825623765991,-0.826789244044383,-1.10481341509503,-0.548765072993737
2015,105,"f","atc",1,2,0.693147180559945,-0.769710528958078,-1.08046870227234,-0.458952355643819
2015,106,"f","atc",1,1,0,-0.717931813871773,-1.06161669502464,-0.374246932718911
2015,107,"f","atc",1,0,-Inf,-0.670553098785468,-1.04730687174962,-0.293799325821315
2015,108,"f","atc",3,0,-Inf,-0.627974383699163,-1.03790482415293,-0.218043943245397
2015,109,"f","atc",0,1,Inf,-0.590995668612858,-1.03418634906173,-0.147804988163982
2015,110,"f","atc",0,0,NA,-0.569216953526553,-1.04573394705468,-0.092699959998429
2015,65,"f","total",564792,5823,-4.57464192891779,-4.56492971975446,-4.58255352987236,-4.54730590963655
2015,66,"f","total",543922,6228,-4.46975060025102,-4.48860223580761,-4.50215103374061,-4.47505343787462
2015,67,"f","total",549063,6682,-4.40879584508958,-4.41137475186077,-4.42170924734136,-4.40104025638017
2015,68,"f","total",518011,6673,-4.35192694363378,-4.32544726791392,-4.33440797644059,-4.31648655938726
2015,69,"f","total",478028,6981,-4.22647713519346,-4.24471978396708,-4.25492014802005,-4.2345194199141
2015,70,"f","total",461279,7270,-4.15024677446163,-4.15369230002023,-4.16703625690636,-4.14034834313411
2015,71,"f","total",476572,7939,-4.0948314907204,-4.08092241454055,-4.09126342527408,-4.07058140380701
2015,72,"f","total",439791,8098,-3.9946824964541,-3.99815252906086,-4.0063706012828,-3.98993445683893
2015,73,"f","total",406959,8085,-3.91870195023847,-3.92028264358118,-3.92801968497568,-3.91254560218668
2015,74,"f","total",388229,8414,-3.83169838653734,-3.84271275810149,-3.85187309644005,-3.83355241976293
2015,75,"f","total",421882,9809,-3.76142532249955,-3.75874287262181,-3.77056178449453,-3.74692396074909
2015,76,"f","total",376143,9459,-3.6830027210048,-3.67729464275293,-3.68644699098083,-3.66814229452502
2015,77,"f","total",346609,9411,-3.60631812559976,-3.59624641288405,-3.60360107136173,-3.58889175440637
2015,78,"f","total",327472,9966,-3.49222325537788,-3.51379818301517,-3.52091599500837,-3.50668037102197
2015,79,"f","total",336878,10769,-3.4430492106572,-3.42984995314629,-3.43842213004754,-3.42127777624504
2015,80,"f","total",294333,10554,-3.3282068444489,-3.33540172327741,-3.34647185918855,-3.32433158736628
2015,81,"f","total",257272,9884,-3.25921660285343,-3.25196860947666,-3.2606076040359,-3.24332961491743
2015,82,"f","total",238656,10311,-3.14181189802055,-3.16183549567591,-3.16873736047182,-3.15493363088
2015,83,"f","total",235570,10681,-3.09354164709696,-3.07520238187517,-3.08164896555107,-3.06875579819926
2015,84,"f","total",215429,10705,-3.00192046685888,-2.98986926807442,-2.99737928387219,-2.98235925227664
2015,85,"f","total",198771,11066,-2.88827606385422,-2.90313615427367,-2.91273622855662,-2.89353607999072
2015,86,"f","total",167818,9958,-2.82450381062023,-2.80920200166349,-2.81747847444536,-2.80092552888161
2015,87,"f","total",146938,9735,-2.71428309027765,-2.7179678490533,-2.72515570247401,-2.7107799956326
2015,88,"f","total",129687,9287,-2.63650828220203,-2.63033369644312,-2.63678793005396,-2.62387946283228
2015,89,"f","total",108554,8642,-2.5306137075138,-2.53949954383294,-2.54570242105455,-2.53329666661133
2015,90,"f","total",92296,7986,-2.44731079498396,-2.45106539122276,-2.45755545283778,-2.44457532960773
2015,91,"f","total",74120,7040,-2.35407723124721,-2.36803123861258,-2.37528332612753,-2.36077915109762
2015,92,"f","total",60193,6224,-2.26914327960798,-2.28469708600239,-2.29305718806515,-2.27633698393963
2015,93,"f","total",46048,5175,-2.18584499155352,-2.20566293339221,-2.21535914395574,-2.19596672282868
2015,94,"f","total",38313,4480,-2.14616621775534,-2.13012878078203,-2.14130770522502,-2.11894985633904
2015,95,"f","total",32121,4078,-2.06390334969198,-2.05609462817185,-2.06885185607329,-2.0433374002704
2015,96,"f","total",24294,3226,-2.01898642657506,-2.00234736081133,-2.0135693581517,-1.99112536347095
2015,97,"f","total",19443,2691,-1.97757423636892,-1.9514000934508,-1.96212500172036,-1.94067518518124
